Ordre;Region;Famille;Type;Caractère;PubMed;Femelle;M.F;No;BothM
12;SSC1:110;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post-mortem (loin);22688438;0;0;1;0
113;SSC16:69;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post-mortem (loin);26580276;0;0;1;0
270;SSC4:54;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post-mortem (loin);24643240;0;0;1;0
57;SSC10:62;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;23840294;0;0;1;0
150;SSC17:60;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;23840294;0;0;1;0
165;SSC18:10;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;32344859;0;0;1;0
179;SSC2:1;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;21383979;0;0;1;0
298;SSC6:72;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle area;21383979;0;0;1;0
326;SSC7:18;Meat_and_Carcass_Association;traitType=Anatomy;trait=Loin muscle depth;31188900;0;0;1;0
106;SSC16:69;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass weight (cold);26580276;0;0;1;0
148;SSC17:60;Meat_and_Carcass_Association;traitType=Anatomy;trait=Carcass weight (cold);26580276;0;0;1;0
65;SSC10:62;Reproduction_Association;traitType=Reproductivetraits;trait=Age at first farrowing;29411893;0;0;1;0
19;SSC1:16;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
40;SSC1:253;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
66;SSC10:62;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;29411893;0;0;1;0
72;SSC11:51;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
86;SSC13:109;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23437861;0;0;1;0
90;SSC13:113;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
213;SSC2:145;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
271;SSC4:54;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
279;SSC5:94;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
349;SSC7:85;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23980905;0;0;1;0
396;SSC9:19;Reproduction_Association;traitType=Reproductivetraits;trait=Age at puberty;23437861;0;0;1;0
314;SSC6:72;Reproduction_Association;traitType=Reproductivetraits;trait=Weaning to conception interval;29879826;0;0;1;0
217;SSC2:151;Exterior_Association;traitType=defects;trait=Scrotal/inguinal hernia;25886970;0;1;0;0
352;SSC8:124;Exterior_Association;traitType=defects;trait=Scrotal/inguinal hernia;31608119;0;1;0;0
